Year,Region,Product_Category,Actual_Units_Sold (2015-2024),Forecast_Units_Sold (2025-2035),ASP (Avg_Selling_Price)
2034,India,Electric kettle – Standard,,11.909,17.85
2035,India,Electric kettle – Standard,,12.195,18.2
2015,India,Electric kettle – Variable-temperature,3.0,,19.25
2016,India,Electric kettle – Variable-temperature,3.096,,19.64
2017,India,Electric kettle – Variable-temperature,3.195,,20.03
2018,India,Electric kettle – Variable-temperature,3.297,,20.43
2019,India,Electric kettle – Variable-temperature,3.403,,20.84
2020,India,Electric kettle – Variable-temperature,3.512,,21.25
2021,India,Electric kettle – Variable-temperature,3.624,,21.68
2022,India,Electric kettle – Variable-temperature,3.74,,22.11
2023,India,Electric kettle – Variable-temperature,3.86,,22.55
2024,India,Electric kettle – Variable-temperature,3.983,,23.01
2025,India,Electric kettle – Variable-temperature,,4.087,23.47
2026,India,Electric kettle – Variable-temperature,,4.193,23.93
2027,India,Electric kettle – Variable-temperature,,4.302,24.41
2028,India,Electric kettle – Variable-temperature,,4.414,24.9
2029,India,Electric kettle – Variable-temperature,,4.529,25.4
2030,India,Electric kettle – Variable-temperature,,4.646,25.91
2031,India,Electric kettle – Variable-temperature,,4.767,26.43
2032,India,Electric kettle – Variable-temperature,,4.891,26.95
2033,India,Electric kettle – Variable-temperature,,5.018,27.49
2034,India,Electric kettle – Variable-temperature,,5.149,28.04
2035,India,Electric kettle – Variable-temperature,,5.283,28.6
2015,India,Electric kettle – Gooseneck (pour-over),1.8,,22.75
2016,India,Electric kettle – Gooseneck (pour-over),1.858,,23.21
2017,India,Electric kettle – Gooseneck (pour-over),1.917,,23.67
2018,India,Electric kettle – Gooseneck (pour-over),1.978,,24.14
2019,India,Electric kettle – Gooseneck (pour-over),2.042,,24.63
2020,India,Electric kettle – Gooseneck (pour-over),2.107,,25.12
2021,India,Electric kettle – Gooseneck (pour-over),2.174,,25.62
2022,India,Electric kettle – Gooseneck (pour-over),2.244,,26.13
2023,India,Electric kettle – Gooseneck (pour-over),2.316,,26.66
2024,India,Electric kettle – Gooseneck (pour-over),2.39,,27.19
2025,India,Electric kettle – Gooseneck (pour-over),,2.452,27.73
2026,India,Electric kettle – Gooseneck (pour-over),,2.516,28.29
2027,India,Electric kettle – Gooseneck (pour-over),,2.581,28.85
2028,India,Electric kettle – Gooseneck (pour-over),,2.648,29.43
2029,India,Electric kettle – Gooseneck (pour-over),,2.717,30.02
2030,India,Electric kettle – Gooseneck (pour-over),,2.788,30.62
2031,India,Electric kettle – Gooseneck (pour-over),,2.86,31.23
2032,India,Electric kettle – Gooseneck (pour-over),,2.935,31.86
2033,India,Electric kettle – Gooseneck (pour-over),,3.011,32.49
2034,India,Electric kettle – Gooseneck (pour-over),,3.089,33.14
2035,India,Electric kettle – Gooseneck (pour-over),,3.17,33.81
2015,India,Toaster – 2-slice pop-up,6.0,,14.7
2016,India,Toaster – 2-slice pop-up,6.18,,14.99
2017,India,Toaster – 2-slice pop-up,6.365,,15.29
2018,India,Toaster – 2-slice pop-up,6.556,,15.6
2019,India,Toaster – 2-slice pop-up,6.753,,15.91
2020,India,Toaster – 2-slice pop-up,6.956,,16.23
2021,India,Toaster – 2-slice pop-up,7.164,,16.55
2022,India,Toaster – 2-slice pop-up,7.379,,16.89
2023,India,Toaster – 2-slice pop-up,7.601,,17.22
2024,India,Toaster – 2-slice pop-up,7.829,,17.57
2025,India,Toaster – 2-slice pop-up,,8.017,17.92
2026,India,Toaster – 2-slice pop-up,,8.209,18.28
2027,India,Toaster – 2-slice pop-up,,8.406,18.64
2028,India,Toaster – 2-slice pop-up,,8.608,19.02
2029,India,Toaster – 2-slice pop-up,,8.814,19.4
2030,India,Toaster – 2-slice pop-up,,9.026,19.78
2031,India,Toaster – 2-slice pop-up,,9.242,20.18
2032,India,Toaster – 2-slice pop-up,,9.464,20.58
2033,India,Toaster – 2-slice pop-up,,9.691,21.0
2034,India,Toaster – 2-slice pop-up,,9.924,21.42
2035,India,Toaster – 2-slice pop-up,,10.162,21.84
2015,India,Toaster – 4-slice pop-up,3.0,,18.9
2016,India,Toaster – 4-slice pop-up,3.093,,19.28
2017,India,Toaster – 4-slice pop-up,3.189,,19.66
2018,India,Toaster – 4-slice pop-up,3.288,,20.06
2019,India,Toaster – 4-slice pop-up,3.39,,20.46
2020,India,Toaster – 4-slice pop-up,3.495,,20.87
2021,India,Toaster – 4-slice pop-up,3.603,,21.28
2022,India,Toaster – 4-slice pop-up,3.715,,21.71
2023,India,Toaster – 4-slice pop-up,3.83,,22.14
2024,India,Toaster – 4-slice pop-up,3.949,,22.59
2025,India,Toaster – 4-slice pop-up,,4.047,23.04
2026,India,Toaster – 4-slice pop-up,,4.149,23.5
2027,India,Toaster – 4-slice pop-up,,4.252,23.97
2028,India,Toaster – 4-slice pop-up,,4.359,24.45
2029,India,Toaster – 4-slice pop-up,,4.468,24.94
2030,India,Toaster – 4-slice pop-up,,4.579,25.44
2031,India,Toaster – 4-slice pop-up,,4.694,25.95
2032,India,Toaster – 4-slice pop-up,,4.811,26.46
2033,India,Toaster – 4-slice pop-up,,4.931,26.99
2034,India,Toaster – 4-slice pop-up,,5.055,27.53
2035,India,Toaster – 4-slice pop-up,,5.181,28.08
2015,India,Toaster – Toaster oven,3.0,,31.5
2016,India,Toaster – Toaster oven,3.096,,32.13
2017,India,Toaster – Toaster oven,3.195,,32.77
2018,India,Toaster – Toaster oven,3.297,,33.43
2019,India,Toaster – Toaster oven,3.403,,34.1
2020,India,Toaster – Toaster oven,3.512,,34.78
2021,India,Toaster – Toaster oven,3.624,,35.47
2022,India,Toaster – Toaster oven,3.74,,36.18
2023,India,Toaster – Toaster oven,3.86,,36.91
2024,India,Toaster – Toaster oven,3.983,,37.65
2025,India,Toaster – Toaster oven,,4.087,38.4
2026,India,Toaster – Toaster oven,,4.193,39.17
2027,India,Toaster – Toaster oven,,4.302,39.95
2028,India,Toaster – Toaster oven,,4.414,40.75
2029,India,Toaster – Toaster oven,,4.529,41.56
2030,India,Toaster – Toaster oven,,4.646,42.39
2031,India,Toaster – Toaster oven,,4.767,43.24
2032,India,Toaster – Toaster oven,,4.891,44.11
2033,India,Toaster – Toaster oven,,5.018,44.99
2034,India,Toaster – Toaster oven,,5.149,45.89
2035,India,Toaster – Toaster oven,,5.283,46.81
2015,India,Blender / mixer–grinder – Countertop blender,6.75,,37.8
2016,India,Blender / mixer–grinder – Countertop blender,6.993,,38.56
2017,India,Blender / mixer–grinder – Countertop blender,7.245,,39.33
2018,India,Blender / mixer–grinder – Countertop blender,7.506,,40.11
2019,India,Blender / mixer–grinder – Countertop blender,7.776,,40.92
2020,India,Blender / mixer–grinder – Countertop blender,8.056,,41.73
2021,India,Blender / mixer–grinder – Countertop blender,8.346,,42.57
2022,India,Blender / mixer–grinder – Countertop blender,8.646,,43.42
2023,India,Blender / mixer–grinder – Countertop blender,8.957,,44.29
2024,India,Blender / mixer–grinder – Countertop blender,9.28,,45.17
2025,India,Blender / mixer–grinder – Countertop blender,,9.549,46.08
2026,India,Blender / mixer–grinder – Countertop blender,,9.826,47.0
2027,India,Blender / mixer–grinder – Countertop blender,,10.111,47.94
2028,India,Blender / mixer–grinder – Countertop blender,,10.404,48.9
2029,India,Blender / mixer–grinder – Countertop blender,,10.706,49.88
2030,India,Blender / mixer–grinder – Countertop blender,,11.016,50.87
2031,India,Blender / mixer–grinder – Countertop blender,,11.336,51.89
2032,India,Blender / mixer–grinder – Countertop blender,,11.664,52.93
2033,India,Blender / mixer–grinder – Countertop blender,,12.003,53.99
2034,India,Blender / mixer–grinder – Countertop blender,,12.351,55.07
2035,India,Blender / mixer–grinder – Countertop blender,,12.709,56.17
2015,India,Blender / mixer–grinder – Immersion (hand) blender,4.05,,33.6
2016,India,Blender / mixer–grinder – Immersion (hand) blender,4.188,,34.27
2017,India,Blender / mixer–grinder – Immersion (hand) blender,4.33,,34.96
2018,India,Blender / mixer–grinder – Immersion (hand) blender,4.477,,35.66
2019,India,Blender / mixer–grinder – Immersion (hand) blender,4.63,,36.37
2020,India,Blender / mixer–grinder – Immersion (hand) blender,4.787,,37.1
2021,India,Blender / mixer–grinder – Immersion (hand) blender,4.95,,37.84
2022,India,Blender / mixer–grinder – Immersion (hand) blender,5.118,,38.6
2023,India,Blender / mixer–grinder – Immersion (hand) blender,5.292,,39.37
2024,India,Blender / mixer–grinder – Immersion (hand) blender,5.472,,40.16
2025,India,Blender / mixer–grinder – Immersion (hand) blender,,5.62,40.96
2026,India,Blender / mixer–grinder – Immersion (hand) blender,,5.771,41.78
2027,India,Blender / mixer–grinder – Immersion (hand) blender,,5.927,42.61
2028,India,Blender / mixer–grinder – Immersion (hand) blender,,6.087,43.47
2029,India,Blender / mixer–grinder – Immersion (hand) blender,,6.252,44.33
2030,India,Blender / mixer–grinder – Immersion (hand) blender,,6.42,45.22
2031,India,Blender / mixer–grinder – Immersion (hand) blender,,6.594,46.13
2032,India,Blender / mixer–grinder – Immersion (hand) blender,,6.772,47.05
2033,India,Blender / mixer–grinder – Immersion (hand) blender,,6.955,47.99
2034,India,Blender / mixer–grinder – Immersion (hand) blender,,7.142,48.95
2035,India,Blender / mixer–grinder – Immersion (hand) blender,,7.335,49.93
2015,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,2.7,,58.8
2016,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,2.8,,59.98
2017,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,2.903,,61.18
2018,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,3.011,,62.4
2019,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,3.122,,63.65
2020,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,3.238,,64.92
2021,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,3.358,,66.22
2022,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,3.482,,67.54
2023,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,3.611,,68.89
2024,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,3.744,,70.27
2025,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,3.857,71.68
2026,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,3.972,73.11
2027,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,4.092,74.57
2028,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,4.214,76.06
2029,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,4.341,77.59
2030,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,4.471,79.14
2031,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,4.605,80.72
2032,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,4.743,82.33
2033,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,4.885,83.98
2034,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,5.032,85.66
2035,India,Blender / mixer–grinder – Mixer–grinder/food-processor combo,,5.183,87.37
2015,India,Rice cooker – Basic on/off,4.5,,28.87
2016,India,Rice cooker – Basic on/off,4.648,,29.45
2017,India,Rice cooker – Basic on/off,4.802,,30.04
2018,India,Rice cooker – Basic on/off,4.96,,30.64
2019,India,Rice cooker – Basic on/off,5.124,,31.26
2020,India,Rice cooker – Basic on/off,5.293,,31.88
2021,India,Rice cooker – Basic on/off,5.468,,32.52
2022,India,Rice cooker – Basic on/off,5.648,,33.17
2023,India,Rice cooker – Basic on/off,5.835,,33.83
2024,India,Rice cooker – Basic on/off,6.027,,34.51
2025,India,Rice cooker – Basic on/off,,6.184,35.2
2026,India,Rice cooker – Basic on/off,,6.345,35.9
2027,India,Rice cooker – Basic on/off,,6.51,36.62
2028,India,Rice cooker – Basic on/off,,6.679,37.35
2029,India,Rice cooker – Basic on/off,,6.853,38.1
2030,India,Rice cooker – Basic on/off,,7.031,38.86
2031,India,Rice cooker – Basic on/off,,7.214,39.64
2032,India,Rice cooker – Basic on/off,,7.401,40.43
2033,India,Rice cooker – Basic on/off,,7.593,41.24
2034,India,Rice cooker – Basic on/off,,7.791,42.07
2035,India,Rice cooker – Basic on/off,,7.993,42.91
2015,India,Rice cooker – Fuzzy-logic (microcomputer),3.15,,42.35
2016,India,Rice cooker – Fuzzy-logic (microcomputer),3.26,,43.2
2017,India,Rice cooker – Fuzzy-logic (microcomputer),3.374,,44.06
2018,India,Rice cooker – Fuzzy-logic (microcomputer),3.492,,44.94
2019,India,Rice cooker – Fuzzy-logic (microcomputer),3.615,,45.84
2020,India,Rice cooker – Fuzzy-logic (microcomputer),3.741,,46.76
2021,India,Rice cooker – Fuzzy-logic (microcomputer),3.872,,47.69
2022,India,Rice cooker – Fuzzy-logic (microcomputer),4.008,,48.65
2023,India,Rice cooker – Fuzzy-logic (microcomputer),4.148,,49.62
2024,India,Rice cooker – Fuzzy-logic (microcomputer),4.293,,50.61
2025,India,Rice cooker – Fuzzy-logic (microcomputer),,4.413,51.62
2026,India,Rice cooker – Fuzzy-logic (microcomputer),,4.537,52.66
2027,India,Rice cooker – Fuzzy-logic (microcomputer),,4.664,53.71
2028,India,Rice cooker – Fuzzy-logic (microcomputer),,4.795,54.78
2029,India,Rice cooker – Fuzzy-logic (microcomputer),,4.929,55.88
2030,India,Rice cooker – Fuzzy-logic (microcomputer),,5.067,57.0
2031,India,Rice cooker – Fuzzy-logic (microcomputer),,5.209,58.14
2032,India,Rice cooker – Fuzzy-logic (microcomputer),,5.354,59.3
2033,India,Rice cooker – Fuzzy-logic (microcomputer),,5.504,60.49
2034,India,Rice cooker – Fuzzy-logic (microcomputer),,5.659,61.7
2035,India,Rice cooker – Fuzzy-logic (microcomputer),,5.817,62.93
2015,India,Rice cooker – Induction-heating (IH),1.35,,53.9
2016,India,Rice cooker – Induction-heating (IH),1.399,,54.98
2017,India,Rice cooker – Induction-heating (IH),1.449,,56.08
2018,India,Rice cooker – Induction-heating (IH),1.501,,57.2
2019,India,Rice cooker – Induction-heating (IH),1.555,,58.34
2020,India,Rice cooker – Induction-heating (IH),1.611,,59.51
2021,India,Rice cooker – Induction-heating (IH),1.669,,60.7
2022,India,Rice cooker – Induction-heating (IH),1.729,,61.91
2023,India,Rice cooker – Induction-heating (IH),1.791,,63.15
2024,India,Rice cooker – Induction-heating (IH),1.856,,64.42
2025,India,Rice cooker – Induction-heating (IH),,1.91,65.7
2026,India,Rice cooker – Induction-heating (IH),,1.965,67.02
2027,India,Rice cooker – Induction-heating (IH),,2.022,68.36
2028,India,Rice cooker – Induction-heating (IH),,2.081,69.73
2029,India,Rice cooker – Induction-heating (IH),,2.141,71.12
2030,India,Rice cooker – Induction-heating (IH),,2.203,72.54
2031,India,Rice cooker – Induction-heating (IH),,2.267,73.99
2032,India,Rice cooker – Induction-heating (IH),,2.333,75.47
2033,India,Rice cooker – Induction-heating (IH),,2.401,76.98
2034,India,Rice cooker – Induction-heating (IH),,2.47,78.52
2035,India,Rice cooker – Induction-heating (IH),,2.542,80.09
2015,India,Coffee maker – Drip,4.5,,138.6
2016,India,Coffee maker – Drip,4.68,,141.37
2017,India,Coffee maker – Drip,4.867,,144.2
2018,India,Coffee maker – Drip,5.062,,147.08
2019,India,Coffee maker – Drip,5.264,,150.03
2020,India,Coffee maker – Drip,5.475,,153.03
2021,India,Coffee maker – Drip,5.694,,156.09
2022,India,Coffee maker – Drip,5.922,,159.21
2023,India,Coffee maker – Drip,6.159,,162.39
2024,India,Coffee maker – Drip,6.405,,165.64
2025,India,Coffee maker – Drip,,6.616,168.95
2026,India,Coffee maker – Drip,,6.835,172.33
2027,India,Coffee maker – Drip,,7.06,175.78
2028,India,Coffee maker – Drip,,7.293,179.29
2029,India,Coffee maker – Drip,,7.534,182.88
2030,India,Coffee maker – Drip,,7.782,186.54
2031,India,Coffee maker – Drip,,8.039,190.27
2032,India,Coffee maker – Drip,,8.305,194.07
2033,India,Coffee maker – Drip,,8.579,197.95
2034,India,Coffee maker – Drip,,8.862,201.91
2035,India,Coffee maker – Drip,,9.154,205.95
2015,India,Coffee maker – Single-serve pod,2.7,,154.0
2016,India,Coffee maker – Single-serve pod,2.813,,157.08
2017,India,Coffee maker – Single-serve pod,2.932,,160.22
2018,India,Coffee maker – Single-serve pod,3.055,,163.43
2019,India,Coffee maker – Single-serve pod,3.183,,166.69
2020,India,Coffee maker – Single-serve pod,3.317,,170.03
2021,India,Coffee maker – Single-serve pod,3.456,,173.43
2022,India,Coffee maker – Single-serve pod,3.601,,176.9
2023,India,Coffee maker – Single-serve pod,3.752,,180.44
2024,India,Coffee maker – Single-serve pod,3.91,,184.04
2025,India,Coffee maker – Single-serve pod,,4.047,187.73
2026,India,Coffee maker – Single-serve pod,,4.188,191.48
2027,India,Coffee maker – Single-serve pod,,4.335,195.31
2028,India,Coffee maker – Single-serve pod,,4.487,199.22
2029,India,Coffee maker – Single-serve pod,,4.644,203.2
2030,India,Coffee maker – Single-serve pod,,4.806,207.26
2031,India,Coffee maker – Single-serve pod,,4.975,211.41
2032,India,Coffee maker – Single-serve pod,,5.149,215.64
2033,India,Coffee maker – Single-serve pod,,5.329,219.95
2034,India,Coffee maker – Single-serve pod,,5.515,224.35
2035,India,Coffee maker – Single-serve pod,,5.708,228.84
2015,India,Coffee maker – Espresso (semi/auto),1.8,,246.4
2016,India,Coffee maker – Espresso (semi/auto),1.877,,251.33
2017,India,Coffee maker – Espresso (semi/auto),1.958,,256.35
2018,India,Coffee maker – Espresso (semi/auto),2.042,,261.48
2019,India,Coffee maker – Espresso (semi/auto),2.13,,266.71
2020,India,Coffee maker – Espresso (semi/auto),2.222,,272.05
2021,India,Coffee maker – Espresso (semi/auto),2.317,,277.49
2022,India,Coffee maker – Espresso (semi/auto),2.417,,283.04
2023,India,Coffee maker – Espresso (semi/auto),2.521,,288.7
2024,India,Coffee maker – Espresso (semi/auto),2.629,,294.47
2025,India,Coffee maker – Espresso (semi/auto),,2.724,300.36
2026,India,Coffee maker – Espresso (semi/auto),,2.822,306.37
2027,India,Coffee maker – Espresso (semi/auto),,2.924,312.49
2028,India,Coffee maker – Espresso (semi/auto),,3.029,318.74
2029,India,Coffee maker – Espresso (semi/auto),,3.138,325.12
2030,India,Coffee maker – Espresso (semi/auto),,3.251,331.62
2031,India,Coffee maker – Espresso (semi/auto),,3.368,338.25
2032,India,Coffee maker – Espresso (semi/auto),,3.489,345.02
2033,India,Coffee maker – Espresso (semi/auto),,3.615,351.92
2034,India,Coffee maker – Espresso (semi/auto),,3.745,358.96
2035,India,Coffee maker – Espresso (semi/auto),,3.88,366.14
2015,India,"Dishwasher – Built-in full-size (24"")",2.1,,315.0
2016,India,"Dishwasher – Built-in full-size (24"")",2.173,,321.3
2017,India,"Dishwasher – Built-in full-size (24"")",2.25,,327.73
2018,India,"Dishwasher – Built-in full-size (24"")",2.328,,334.28
2019,India,"Dishwasher – Built-in full-size (24"")",2.41,,340.97
2020,India,"Dishwasher – Built-in full-size (24"")",2.494,,347.79
2021,India,"Dishwasher – Built-in full-size (24"")",2.581,,354.74
2022,India,"Dishwasher – Built-in full-size (24"")",2.672,,361.84
2023,India,"Dishwasher – Built-in full-size (24"")",2.765,,369.07
2024,India,"Dishwasher – Built-in full-size (24"")",2.862,,376.45
2025,India,"Dishwasher – Built-in full-size (24"")",,2.948,383.98
2026,India,"Dishwasher – Built-in full-size (24"")",,3.036,391.66
2027,India,"Dishwasher – Built-in full-size (24"")",,3.127,399.5
2028,India,"Dishwasher – Built-in full-size (24"")",,3.221,407.49
2029,India,"Dishwasher – Built-in full-size (24"")",,3.318,415.64
2030,India,"Dishwasher – Built-in full-size (24"")",,3.417,423.95
2031,India,"Dishwasher – Built-in full-size (24"")",,3.52,432.43
2032,India,"Dishwasher – Built-in full-size (24"")",,3.626,441.08
2033,India,"Dishwasher – Built-in full-size (24"")",,3.734,449.9
2034,India,"Dishwasher – Built-in full-size (24"")",,3.846,458.9
2035,India,"Dishwasher – Built-in full-size (24"")",,3.962,468.07
2015,India,"Dishwasher – Slimline/compact (18"")",0.6,,283.5
2016,India,"Dishwasher – Slimline/compact (18"")",0.622,,289.17
2017,India,"Dishwasher – Slimline/compact (18"")",0.644,,294.95
2018,India,"Dishwasher – Slimline/compact (18"")",0.667,,300.85
2019,India,"Dishwasher – Slimline/compact (18"")",0.691,,306.87
2020,India,"Dishwasher – Slimline/compact (18"")",0.716,,313.01
2021,India,"Dishwasher – Slimline/compact (18"")",0.742,,319.27
2022,India,"Dishwasher – Slimline/compact (18"")",0.769,,325.65
2023,India,"Dishwasher – Slimline/compact (18"")",0.796,,332.17
2024,India,"Dishwasher – Slimline/compact (18"")",0.825,,338.81
2025,India,"Dishwasher – Slimline/compact (18"")",,0.85,345.58
2026,India,"Dishwasher – Slimline/compact (18"")",,0.877,352.5
2027,India,"Dishwasher – Slimline/compact (18"")",,0.904,359.55
2028,India,"Dishwasher – Slimline/compact (18"")",,0.932,366.74
2029,India,"Dishwasher – Slimline/compact (18"")",,0.961,374.07
2030,India,"Dishwasher – Slimline/compact (18"")",,0.991,381.55
2031,India,"Dishwasher – Slimline/compact (18"")",,1.021,389.18
2032,India,"Dishwasher – Slimline/compact (18"")",,1.053,396.97
2033,India,"Dishwasher – Slimline/compact (18"")",,1.086,404.91
2034,India,"Dishwasher – Slimline/compact (18"")",,1.119,413.01
2035,India,"Dishwasher – Slimline/compact (18"")",,1.154,421.27
2015,India,Dishwasher – Countertop/portable,0.3,,220.5
2016,India,Dishwasher – Countertop/portable,0.31,,224.91
2017,India,Dishwasher – Countertop/portable,0.321,,229.41
2018,India,Dishwasher – Countertop/portable,0.332,,234.0
2019,India,Dishwasher – Countertop/portable,0.343,,238.68
2020,India,Dishwasher – Countertop/portable,0.355,,243.45
2021,India,Dishwasher – Countertop/portable,0.367,,248.32
2022,India,Dishwasher – Countertop/portable,0.379,,253.29
2023,India,Dishwasher – Countertop/portable,0.392,,258.35
2024,India,Dishwasher – Countertop/portable,0.405,,263.52
2025,India,Dishwasher – Countertop/portable,,0.417,268.79
2026,India,Dishwasher – Countertop/portable,,0.429,274.16
2027,India,Dishwasher – Countertop/portable,,0.442,279.65
2028,India,Dishwasher – Countertop/portable,,0.454,285.24
2029,India,Dishwasher – Countertop/portable,,0.468,290.95
2030,India,Dishwasher – Countertop/portable,,0.481,296.76
2031,India,Dishwasher – Countertop/portable,,0.495,302.7
2032,India,Dishwasher – Countertop/portable,,0.509,308.75
2033,India,Dishwasher – Countertop/portable,,0.524,314.93
2034,India,Dishwasher – Countertop/portable,,0.539,321.23
2035,India,Dishwasher – Countertop/portable,,0.555,327.65
2015,India,Vacuum cleaner – Upright,3.6,,123.2
2016,India,Vacuum cleaner – Upright,3.773,,125.66
2017,India,Vacuum cleaner – Upright,3.954,,128.18
2018,India,Vacuum cleaner – Upright,4.144,,130.74
2019,India,Vacuum cleaner – Upright,4.343,,133.36
2020,India,Vacuum cleaner – Upright,4.551,,136.02
2021,India,Vacuum cleaner – Upright,4.769,,138.74
2022,India,Vacuum cleaner – Upright,4.998,,141.52
2023,India,Vacuum cleaner – Upright,5.238,,144.35
2024,India,Vacuum cleaner – Upright,5.49,,147.24
2025,India,Vacuum cleaner – Upright,,5.704,150.18
2026,India,Vacuum cleaner – Upright,,5.926,153.18
2027,India,Vacuum cleaner – Upright,,6.157,156.25
2028,India,Vacuum cleaner – Upright,,6.398,159.37
2029,India,Vacuum cleaner – Upright,,6.647,162.56
2030,India,Vacuum cleaner – Upright,,6.906,165.81
2031,India,Vacuum cleaner – Upright,,7.176,169.13
2032,India,Vacuum cleaner – Upright,,7.456,172.51
2033,India,Vacuum cleaner – Upright,,7.746,175.96
2034,India,Vacuum cleaner – Upright,,8.048,179.48
2035,India,Vacuum cleaner – Upright,,8.362,183.07
2015,India,Vacuum cleaner – Canister,4.8,,138.6
2016,India,Vacuum cleaner – Canister,5.035,,141.37
2017,India,Vacuum cleaner – Canister,5.282,,144.2
2018,India,Vacuum cleaner – Canister,5.541,,147.08
2019,India,Vacuum cleaner – Canister,5.812,,150.03
2020,India,Vacuum cleaner – Canister,6.097,,153.03
2021,India,Vacuum cleaner – Canister,6.396,,156.09
2022,India,Vacuum cleaner – Canister,6.709,,159.21
2023,India,Vacuum cleaner – Canister,7.038,,162.39
2024,India,Vacuum cleaner – Canister,7.383,,165.64
2025,India,Vacuum cleaner – Canister,,7.678,168.95
2026,India,Vacuum cleaner – Canister,,7.985,172.33
2027,India,Vacuum cleaner – Canister,,8.305,175.78
2028,India,Vacuum cleaner – Canister,,8.637,179.29
2029,India,Vacuum cleaner – Canister,,8.982,182.88
2030,India,Vacuum cleaner – Canister,,9.342,186.54
2031,India,Vacuum cleaner – Canister,,9.715,190.27
2032,India,Vacuum cleaner – Canister,,10.104,194.07
2033,India,Vacuum cleaner – Canister,,10.508,197.95
2034,India,Vacuum cleaner – Canister,,10.928,201.91
2035,India,Vacuum cleaner – Canister,,11.365,205.95
2015,India,Vacuum cleaner – Robot,3.6,,246.4
2016,India,Vacuum cleaner – Robot,3.802,,251.33
2017,India,Vacuum cleaner – Robot,4.014,,256.35
2018,India,Vacuum cleaner – Robot,4.239,,261.48
2019,India,Vacuum cleaner – Robot,4.477,,266.71
2020,India,Vacuum cleaner – Robot,4.727,,272.05
2021,India,Vacuum cleaner – Robot,4.992,,277.49
2022,India,Vacuum cleaner – Robot,5.272,,283.04
2023,India,Vacuum cleaner – Robot,5.567,,288.7
2024,India,Vacuum cleaner – Robot,5.879,,294.47
2025,India,Vacuum cleaner – Robot,,6.155,300.36
2026,India,Vacuum cleaner – Robot,,6.444,306.37
2027,India,Vacuum cleaner – Robot,,6.747,312.49
2028,India,Vacuum cleaner – Robot,,7.064,318.74
2029,India,Vacuum cleaner – Robot,,7.396,325.12
2030,India,Vacuum cleaner – Robot,,7.744,331.62
2031,India,Vacuum cleaner – Robot,,8.108,338.25
2032,India,Vacuum cleaner – Robot,,8.489,345.02
2033,India,Vacuum cleaner – Robot,,8.888,351.92
2034,India,Vacuum cleaner – Robot,,9.306,358.96
2035,India,Vacuum cleaner – Robot,,9.743,366.14
2015,India,Clothes dryer – Vented,2.25,,364.0
2016,India,Clothes dryer – Vented,2.338,,371.28
2017,India,Clothes dryer – Vented,2.429,,378.71
2018,India,Clothes dryer – Vented,2.524,,386.28
2019,India,Clothes dryer – Vented,2.622,,394.01
2020,India,Clothes dryer – Vented,2.724,,401.89
2021,India,Clothes dryer – Vented,2.831,,409.92
2022,India,Clothes dryer – Vented,2.941,,418.12
2023,India,Clothes dryer – Vented,3.056,,426.48
2024,India,Clothes dryer – Vented,3.175,,435.01
2025,India,Clothes dryer – Vented,,3.276,443.71
2026,India,Clothes dryer – Vented,,3.381,452.59
2027,India,Clothes dryer – Vented,,3.489,461.64
2028,India,Clothes dryer – Vented,,3.601,470.87
2029,India,Clothes dryer – Vented,,3.716,480.29
2030,India,Clothes dryer – Vented,,3.835,489.9
2031,India,Clothes dryer – Vented,,3.958,499.69
2032,India,Clothes dryer – Vented,,4.085,509.69
2033,India,Clothes dryer – Vented,,4.215,519.88
2034,India,Clothes dryer – Vented,,4.35,530.28
2035,India,Clothes dryer – Vented,,4.49,540.88
2015,India,Clothes dryer – Condenser,1.35,,432.25
2016,India,Clothes dryer – Condenser,1.405,,440.89
2017,India,Clothes dryer – Condenser,1.463,,449.71
2018,India,Clothes dryer – Condenser,1.523,,458.71
2019,India,Clothes dryer – Condenser,1.585,,467.88
2020,India,Clothes dryer – Condenser,1.65,,477.24
2021,India,Clothes dryer – Condenser,1.718,,486.78
2022,India,Clothes dryer – Condenser,1.788,,496.52
2023,India,Clothes dryer – Condenser,1.862,,506.45
2024,India,Clothes dryer – Condenser,1.938,,516.58
2025,India,Clothes dryer – Condenser,,2.004,526.91
