Year,Region,Product_Category,Market_Size_Units (Millions),Market_Value (USD Billions),YoY_Growth_Rate (%),5_Year_CAGR_Forecast (%),Key_Driver
2020,Japan,"Dishwasher – Slimline/compact (18"")",0.217,0.116,1.6,1.6,Hygiene/time-saving
2021,Japan,"Dishwasher – Slimline/compact (18"")",0.22,0.12,1.6,1.6,Hygiene/time-saving
2022,Japan,"Dishwasher – Slimline/compact (18"")",0.224,0.125,1.6,1.6,Hygiene/time-saving
2023,Japan,"Dishwasher – Slimline/compact (18"")",0.227,0.129,1.6,1.6,Hygiene/time-saving
2024,Japan,"Dishwasher – Slimline/compact (18"")",0.231,0.134,1.6,1.6,Hygiene/time-saving
2025,Japan,"Dishwasher – Slimline/compact (18"")",0.235,0.139,1.7,1.6,Hygiene/time-saving
2026,Japan,"Dishwasher – Slimline/compact (18"")",0.239,0.144,1.7,1.6,Hygiene/time-saving
2027,Japan,"Dishwasher – Slimline/compact (18"")",0.243,0.15,1.7,1.6,Hygiene/time-saving
2028,Japan,"Dishwasher – Slimline/compact (18"")",0.247,0.155,1.7,1.6,Hygiene/time-saving
2015,Japan,Dishwasher – Countertop/portable,0.1,0.038,,1.6,Hygiene/time-saving
2016,Japan,Dishwasher – Countertop/portable,0.101,0.039,1.4,1.6,Hygiene/time-saving
2017,Japan,Dishwasher – Countertop/portable,0.103,0.04,1.4,1.6,Hygiene/time-saving
2018,Japan,Dishwasher – Countertop/portable,0.104,0.042,1.4,1.6,Hygiene/time-saving
2019,Japan,Dishwasher – Countertop/portable,0.106,0.043,1.4,1.6,Hygiene/time-saving
2020,Japan,Dishwasher – Countertop/portable,0.107,0.045,1.4,1.6,Hygiene/time-saving
2021,Japan,Dishwasher – Countertop/portable,0.109,0.046,1.4,1.6,Hygiene/time-saving
2022,Japan,Dishwasher – Countertop/portable,0.11,0.048,1.4,1.6,Hygiene/time-saving
2023,Japan,Dishwasher – Countertop/portable,0.112,0.049,1.4,1.6,Hygiene/time-saving
2024,Japan,Dishwasher – Countertop/portable,0.113,0.051,1.4,1.6,Hygiene/time-saving
2025,Japan,Dishwasher – Countertop/portable,0.115,0.053,1.5,1.6,Hygiene/time-saving
2026,Japan,Dishwasher – Countertop/portable,0.117,0.055,1.5,1.6,Hygiene/time-saving
2027,Japan,Dishwasher – Countertop/portable,0.119,0.057,1.5,1.6,Hygiene/time-saving
2028,Japan,Dishwasher – Countertop/portable,0.12,0.059,1.5,1.6,Hygiene/time-saving
2015,Japan,Vacuum cleaner – Upright,1.2,0.253,,2.7,Cleaning automation
2016,Japan,Vacuum cleaner – Upright,1.234,0.266,2.8,2.7,Cleaning automation
2017,Japan,Vacuum cleaner – Upright,1.268,0.279,2.8,2.7,Cleaning automation
2018,Japan,Vacuum cleaner – Upright,1.304,0.292,2.8,2.7,Cleaning automation
2019,Japan,Vacuum cleaner – Upright,1.34,0.306,2.8,2.7,Cleaning automation
2020,Japan,Vacuum cleaner – Upright,1.378,0.321,2.8,2.7,Cleaning automation
2021,Japan,Vacuum cleaner – Upright,1.416,0.337,2.8,2.7,Cleaning automation
2022,Japan,Vacuum cleaner – Upright,1.456,0.353,2.8,2.7,Cleaning automation
2023,Japan,Vacuum cleaner – Upright,1.497,0.37,2.8,2.7,Cleaning automation
2024,Japan,Vacuum cleaner – Upright,1.539,0.388,2.8,2.7,Cleaning automation
2025,Japan,Vacuum cleaner – Upright,1.577,0.406,2.5,2.7,Cleaning automation
2026,Japan,Vacuum cleaner – Upright,1.616,0.424,2.5,2.7,Cleaning automation
2027,Japan,Vacuum cleaner – Upright,1.657,0.444,2.5,2.7,Cleaning automation
2028,Japan,Vacuum cleaner – Upright,1.698,0.464,2.5,2.7,Cleaning automation
2015,Japan,Vacuum cleaner – Canister,1.6,0.38,,2.7,Cleaning automation
2016,Japan,Vacuum cleaner – Canister,1.646,0.399,2.9,2.7,Cleaning automation
2017,Japan,Vacuum cleaner – Canister,1.694,0.419,2.9,2.7,Cleaning automation
2018,Japan,Vacuum cleaner – Canister,1.743,0.44,2.9,2.7,Cleaning automation
2019,Japan,Vacuum cleaner – Canister,1.794,0.461,2.9,2.7,Cleaning automation
2020,Japan,Vacuum cleaner – Canister,1.846,0.484,2.9,2.7,Cleaning automation
2021,Japan,Vacuum cleaner – Canister,1.899,0.508,2.9,2.7,Cleaning automation
2022,Japan,Vacuum cleaner – Canister,1.954,0.533,2.9,2.7,Cleaning automation
2023,Japan,Vacuum cleaner – Canister,2.011,0.56,2.9,2.7,Cleaning automation
2024,Japan,Vacuum cleaner – Canister,2.069,0.588,2.9,2.7,Cleaning automation
2025,Japan,Vacuum cleaner – Canister,2.123,0.615,2.6,2.7,Cleaning automation
2026,Japan,Vacuum cleaner – Canister,2.178,0.644,2.6,2.7,Cleaning automation
2027,Japan,Vacuum cleaner – Canister,2.235,0.674,2.6,2.7,Cleaning automation
2028,Japan,Vacuum cleaner – Canister,2.293,0.705,2.6,2.7,Cleaning automation
2015,Japan,Vacuum cleaner – Robot,1.2,0.507,,2.7,Robot adoption
2016,Japan,Vacuum cleaner – Robot,1.243,0.536,3.6,2.7,Robot adoption
2017,Japan,Vacuum cleaner – Robot,1.288,0.566,3.6,2.7,Robot adoption
2018,Japan,Vacuum cleaner – Robot,1.334,0.598,3.6,2.7,Robot adoption
2019,Japan,Vacuum cleaner – Robot,1.382,0.632,3.6,2.7,Robot adoption
2020,Japan,Vacuum cleaner – Robot,1.432,0.668,3.6,2.7,Robot adoption
2021,Japan,Vacuum cleaner – Robot,1.484,0.706,3.6,2.7,Robot adoption
2022,Japan,Vacuum cleaner – Robot,1.537,0.746,3.6,2.7,Robot adoption
2023,Japan,Vacuum cleaner – Robot,1.592,0.788,3.6,2.7,Robot adoption
2024,Japan,Vacuum cleaner – Robot,1.65,0.833,3.6,2.7,Robot adoption
2025,Japan,Vacuum cleaner – Robot,1.704,0.877,3.3,2.7,Robot adoption
2026,Japan,Vacuum cleaner – Robot,1.76,0.925,3.3,2.7,Robot adoption
2027,Japan,Vacuum cleaner – Robot,1.819,0.974,3.3,2.7,Robot adoption
2028,Japan,Vacuum cleaner – Robot,1.879,1.026,3.3,2.7,Robot adoption
2015,Japan,Clothes dryer – Vented,0.75,0.468,,1.9,Heat-pump adoption
2016,Japan,Clothes dryer – Vented,0.764,0.486,1.9,1.9,Heat-pump adoption
2017,Japan,Clothes dryer – Vented,0.779,0.506,1.9,1.9,Heat-pump adoption
2018,Japan,Clothes dryer – Vented,0.794,0.525,1.9,1.9,Heat-pump adoption
2019,Japan,Clothes dryer – Vented,0.809,0.546,1.9,1.9,Heat-pump adoption
2020,Japan,Clothes dryer – Vented,0.824,0.568,1.9,1.9,Heat-pump adoption
2021,Japan,Clothes dryer – Vented,0.84,0.59,1.9,1.9,Heat-pump adoption
2022,Japan,Clothes dryer – Vented,0.856,0.613,1.9,1.9,Heat-pump adoption
2023,Japan,Clothes dryer – Vented,0.872,0.637,1.9,1.9,Heat-pump adoption
2024,Japan,Clothes dryer – Vented,0.888,0.663,1.9,1.9,Heat-pump adoption
2025,Japan,Clothes dryer – Vented,0.904,0.688,1.8,1.9,Heat-pump adoption
2026,Japan,Clothes dryer – Vented,0.921,0.714,1.8,1.9,Heat-pump adoption
2027,Japan,Clothes dryer – Vented,0.937,0.742,1.8,1.9,Heat-pump adoption
2028,Japan,Clothes dryer – Vented,0.954,0.77,1.8,1.9,Heat-pump adoption
2015,Japan,Clothes dryer – Condenser,0.45,0.333,,1.9,Heat-pump adoption
2016,Japan,Clothes dryer – Condenser,0.459,0.347,2.1,1.9,Heat-pump adoption
2017,Japan,Clothes dryer – Condenser,0.469,0.362,2.1,1.9,Heat-pump adoption
2018,Japan,Clothes dryer – Condenser,0.479,0.377,2.1,1.9,Heat-pump adoption
2019,Japan,Clothes dryer – Condenser,0.489,0.392,2.1,1.9,Heat-pump adoption
2020,Japan,Clothes dryer – Condenser,0.499,0.408,2.1,1.9,Heat-pump adoption
2021,Japan,Clothes dryer – Condenser,0.51,0.425,2.1,1.9,Heat-pump adoption
2022,Japan,Clothes dryer – Condenser,0.52,0.443,2.1,1.9,Heat-pump adoption
2023,Japan,Clothes dryer – Condenser,0.531,0.461,2.1,1.9,Heat-pump adoption
2024,Japan,Clothes dryer – Condenser,0.543,0.48,2.1,1.9,Heat-pump adoption
2025,Japan,Clothes dryer – Condenser,0.553,0.5,2.0,1.9,Heat-pump adoption
2026,Japan,Clothes dryer – Condenser,0.564,0.52,2.0,1.9,Heat-pump adoption
2027,Japan,Clothes dryer – Condenser,0.576,0.541,2.0,1.9,Heat-pump adoption
2028,Japan,Clothes dryer – Condenser,0.587,0.563,2.0,1.9,Heat-pump adoption
2015,Japan,Clothes dryer – Heat pump,0.3,0.351,,1.9,Efficiency mandates
2016,Japan,Clothes dryer – Heat pump,0.307,0.367,2.5,1.9,Efficiency mandates
2017,Japan,Clothes dryer – Heat pump,0.315,0.384,2.5,1.9,Efficiency mandates
2018,Japan,Clothes dryer – Heat pump,0.323,0.401,2.5,1.9,Efficiency mandates
2019,Japan,Clothes dryer – Heat pump,0.331,0.419,2.5,1.9,Efficiency mandates
2020,Japan,Clothes dryer – Heat pump,0.339,0.438,2.5,1.9,Efficiency mandates
2021,Japan,Clothes dryer – Heat pump,0.348,0.458,2.5,1.9,Efficiency mandates
2022,Japan,Clothes dryer – Heat pump,0.357,0.479,2.5,1.9,Efficiency mandates
2023,Japan,Clothes dryer – Heat pump,0.366,0.501,2.5,1.9,Efficiency mandates
2024,Japan,Clothes dryer – Heat pump,0.375,0.524,2.5,1.9,Efficiency mandates
2025,Japan,Clothes dryer – Heat pump,0.384,0.547,2.4,1.9,Efficiency mandates
2026,Japan,Clothes dryer – Heat pump,0.393,0.572,2.4,1.9,Efficiency mandates
2027,Japan,Clothes dryer – Heat pump,0.402,0.597,2.4,1.9,Efficiency mandates
2028,Japan,Clothes dryer – Heat pump,0.412,0.623,2.4,1.9,Efficiency mandates
2015,Japan,Air conditioner – Window,1.8,0.691,,2.6,Heat waves/inverter
2016,Japan,Air conditioner – Window,1.841,0.721,2.3,2.6,Heat waves/inverter
2017,Japan,Air conditioner – Window,1.884,0.753,2.3,2.6,Heat waves/inverter
2018,Japan,Air conditioner – Window,1.927,0.785,2.3,2.6,Heat waves/inverter
2019,Japan,Air conditioner – Window,1.971,0.819,2.3,2.6,Heat waves/inverter
2020,Japan,Air conditioner – Window,2.017,0.855,2.3,2.6,Heat waves/inverter
2021,Japan,Air conditioner – Window,2.063,0.892,2.3,2.6,Heat waves/inverter
2022,Japan,Air conditioner – Window,2.111,0.931,2.3,2.6,Heat waves/inverter
2023,Japan,Air conditioner – Window,2.159,0.971,2.3,2.6,Heat waves/inverter
2024,Japan,Air conditioner – Window,2.209,1.014,2.3,2.6,Heat waves/inverter
2025,Japan,Air conditioner – Window,2.262,1.059,2.4,2.6,Heat waves/inverter
2026,Japan,Air conditioner – Window,2.316,1.106,2.4,2.6,Heat waves/inverter
2027,Japan,Air conditioner – Window,2.372,1.155,2.4,2.6,Heat waves/inverter
2028,Japan,Air conditioner – Window,2.429,1.206,2.4,2.6,Heat waves/inverter
2015,Japan,Air conditioner – Split-system (ductless),3.9,2.059,,2.6,Inverter & ductless shift
2016,Japan,Air conditioner – Split-system (ductless),4.005,2.157,2.7,2.6,Inverter & ductless shift
2017,Japan,Air conditioner – Split-system (ductless),4.113,2.26,2.7,2.6,Inverter & ductless shift
2018,Japan,Air conditioner – Split-system (ductless),4.225,2.367,2.7,2.6,Inverter & ductless shift
2019,Japan,Air conditioner – Split-system (ductless),4.339,2.48,2.7,2.6,Inverter & ductless shift
2020,Japan,Air conditioner – Split-system (ductless),4.456,2.597,2.7,2.6,Inverter & ductless shift
2021,Japan,Air conditioner – Split-system (ductless),4.576,2.721,2.7,2.6,Inverter & ductless shift
2022,Japan,Air conditioner – Split-system (ductless),4.7,2.85,2.7,2.6,Inverter & ductless shift
2023,Japan,Air conditioner – Split-system (ductless),4.826,2.986,2.7,2.6,Inverter & ductless shift
2024,Japan,Air conditioner – Split-system (ductless),4.957,3.128,2.7,2.6,Inverter & ductless shift
2025,Japan,Air conditioner – Split-system (ductless),5.096,3.28,2.8,2.6,Inverter & ductless shift
2026,Japan,Air conditioner – Split-system (ductless),5.238,3.439,2.8,2.6,Inverter & ductless shift
2027,Japan,Air conditioner – Split-system (ductless),5.385,3.606,2.8,2.6,Inverter & ductless shift
2028,Japan,Air conditioner – Split-system (ductless),5.536,3.781,2.8,2.6,Inverter & ductless shift
2015,Japan,Air conditioner – Portable,0.3,0.101,,2.6,Heat waves/inverter
2016,Japan,Air conditioner – Portable,0.307,0.105,2.2,2.6,Heat waves/inverter
2017,Japan,Air conditioner – Portable,0.313,0.11,2.2,2.6,Heat waves/inverter
2018,Japan,Air conditioner – Portable,0.32,0.114,2.2,2.6,Heat waves/inverter
2019,Japan,Air conditioner – Portable,0.327,0.119,2.2,2.6,Heat waves/inverter
2020,Japan,Air conditioner – Portable,0.334,0.124,2.2,2.6,Heat waves/inverter
2021,Japan,Air conditioner – Portable,0.342,0.129,2.2,2.6,Heat waves/inverter
2022,Japan,Air conditioner – Portable,0.349,0.135,2.2,2.6,Heat waves/inverter
2023,Japan,Air conditioner – Portable,0.357,0.141,2.2,2.6,Heat waves/inverter
2024,Japan,Air conditioner – Portable,0.365,0.147,2.2,2.6,Heat waves/inverter
2025,Japan,Air conditioner – Portable,0.373,0.153,2.3,2.6,Heat waves/inverter
2026,Japan,Air conditioner – Portable,0.382,0.16,2.3,2.6,Heat waves/inverter
2027,Japan,Air conditioner – Portable,0.391,0.166,2.3,2.6,Heat waves/inverter
2028,Japan,Air conditioner – Portable,0.4,0.174,2.3,2.6,Heat waves/inverter
2015,Japan,Ceiling fan – Standard,3.85,0.277,,1.2,Energy-efficient cooling
2016,Japan,Ceiling fan – Standard,3.9,0.286,1.3,1.2,Energy-efficient cooling
2017,Japan,Ceiling fan – Standard,3.951,0.296,1.3,1.2,Energy-efficient cooling
2018,Japan,Ceiling fan – Standard,4.002,0.306,1.3,1.2,Energy-efficient cooling
2019,Japan,Ceiling fan – Standard,4.054,0.316,1.3,1.2,Energy-efficient cooling
2020,Japan,Ceiling fan – Standard,4.107,0.326,1.3,1.2,Energy-efficient cooling
2021,Japan,Ceiling fan – Standard,4.16,0.337,1.3,1.2,Energy-efficient cooling
2022,Japan,Ceiling fan – Standard,4.214,0.349,1.3,1.2,Energy-efficient cooling
2023,Japan,Ceiling fan – Standard,4.269,0.36,1.3,1.2,Energy-efficient cooling
2024,Japan,Ceiling fan – Standard,4.325,0.372,1.3,1.2,Energy-efficient cooling
2025,Japan,Ceiling fan – Standard,4.376,0.384,1.2,1.2,Energy-efficient cooling
2026,Japan,Ceiling fan – Standard,4.429,0.396,1.2,1.2,Energy-efficient cooling
2027,Japan,Ceiling fan – Standard,4.482,0.409,1.2,1.2,Energy-efficient cooling
2028,Japan,Ceiling fan – Standard,4.536,0.422,1.2,1.2,Energy-efficient cooling
2015,Japan,Ceiling fan – Low-profile (hugger),1.1,0.089,,1.2,Energy-efficient cooling
2016,Japan,Ceiling fan – Low-profile (hugger),1.115,0.092,1.4,1.2,Energy-efficient cooling
2017,Japan,Ceiling fan – Low-profile (hugger),1.131,0.095,1.4,1.2,Energy-efficient cooling
2018,Japan,Ceiling fan – Low-profile (hugger),1.147,0.099,1.4,1.2,Energy-efficient cooling
2019,Japan,Ceiling fan – Low-profile (hugger),1.163,0.102,1.4,1.2,Energy-efficient cooling
2020,Japan,Ceiling fan – Low-profile (hugger),1.179,0.105,1.4,1.2,Energy-efficient cooling
2021,Japan,Ceiling fan – Low-profile (hugger),1.196,0.109,1.4,1.2,Energy-efficient cooling
2022,Japan,Ceiling fan – Low-profile (hugger),1.212,0.113,1.4,1.2,Energy-efficient cooling
2023,Japan,Ceiling fan – Low-profile (hugger),1.229,0.117,1.4,1.2,Energy-efficient cooling
2024,Japan,Ceiling fan – Low-profile (hugger),1.247,0.121,1.4,1.2,Energy-efficient cooling
2025,Japan,Ceiling fan – Low-profile (hugger),1.263,0.125,1.3,1.2,Energy-efficient cooling
2026,Japan,Ceiling fan – Low-profile (hugger),1.279,0.129,1.3,1.2,Energy-efficient cooling
2027,Japan,Ceiling fan – Low-profile (hugger),1.296,0.133,1.3,1.2,Energy-efficient cooling
2028,Japan,Ceiling fan – Low-profile (hugger),1.313,0.138,1.3,1.2,Energy-efficient cooling
2015,Japan,Ceiling fan – Smart/remote-controlled,0.55,0.069,,1.2,Energy-efficient cooling
2016,Japan,Ceiling fan – Smart/remote-controlled,0.559,0.072,1.7,1.2,Energy-efficient cooling
2017,Japan,Ceiling fan – Smart/remote-controlled,0.569,0.075,1.7,1.2,Energy-efficient cooling
2018,Japan,Ceiling fan – Smart/remote-controlled,0.579,0.077,1.7,1.2,Energy-efficient cooling
2019,Japan,Ceiling fan – Smart/remote-controlled,0.588,0.08,1.7,1.2,Energy-efficient cooling
2020,Japan,Ceiling fan – Smart/remote-controlled,0.598,0.083,1.7,1.2,Energy-efficient cooling
2021,Japan,Ceiling fan – Smart/remote-controlled,0.609,0.086,1.7,1.2,Energy-efficient cooling
2022,Japan,Ceiling fan – Smart/remote-controlled,0.619,0.09,1.7,1.2,Energy-efficient cooling
2023,Japan,Ceiling fan – Smart/remote-controlled,0.629,0.093,1.7,1.2,Energy-efficient cooling
2024,Japan,Ceiling fan – Smart/remote-controlled,0.64,0.096,1.7,1.2,Energy-efficient cooling
2025,Japan,Ceiling fan – Smart/remote-controlled,0.65,0.1,1.6,1.2,Energy-efficient cooling
2026,Japan,Ceiling fan – Smart/remote-controlled,0.661,0.104,1.6,1.2,Energy-efficient cooling
2027,Japan,Ceiling fan – Smart/remote-controlled,0.671,0.107,1.6,1.2,Energy-efficient cooling
2028,Japan,Ceiling fan – Smart/remote-controlled,0.682,0.111,1.6,1.2,Energy-efficient cooling
2015,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.75,0.092,,1.0,Safety features
2016,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.768,0.095,1.0,1.0,Safety features
2017,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.785,0.098,1.0,1.0,Safety features
2018,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.803,0.101,1.0,1.0,Safety features
2019,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.821,0.104,1.0,1.0,Safety features
2020,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.839,0.107,1.0,1.0,Safety features
2021,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.858,0.11,1.0,1.0,Safety features
2022,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.876,0.114,1.0,1.0,Safety features
2023,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.895,0.117,1.0,1.0,Safety features
2024,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.914,0.121,1.0,1.0,Safety features
2025,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.933,0.124,1.0,1.0,Safety features
2026,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.952,0.128,1.0,1.0,Safety features
2027,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.972,0.132,1.0,1.0,Safety features
2028,Japan,Space heater (electric room heater) – Fan-forced ceramic,1.992,0.136,1.0,1.0,Safety features
2015,Japan,Space heater (electric room heater) – Oil-filled radiator,1.05,0.069,,1.0,Safety features
2016,Japan,Space heater (electric room heater) – Oil-filled radiator,1.062,0.071,1.1,1.0,Safety features
2017,Japan,Space heater (electric room heater) – Oil-filled radiator,1.073,0.074,1.1,1.0,Safety features
2018,Japan,Space heater (electric room heater) – Oil-filled radiator,1.085,0.076,1.1,1.0,Safety features
2019,Japan,Space heater (electric room heater) – Oil-filled radiator,1.097,0.078,1.1,1.0,Safety features
2020,Japan,Space heater (electric room heater) – Oil-filled radiator,1.109,0.081,1.1,1.0,Safety features
2021,Japan,Space heater (electric room heater) – Oil-filled radiator,1.121,0.083,1.1,1.0,Safety features
2022,Japan,Space heater (electric room heater) – Oil-filled radiator,1.134,0.086,1.1,1.0,Safety features
2023,Japan,Space heater (electric room heater) – Oil-filled radiator,1.146,0.089,1.1,1.0,Safety features
2024,Japan,Space heater (electric room heater) – Oil-filled radiator,1.159,0.091,1.1,1.0,Safety features
2025,Japan,Space heater (electric room heater) – Oil-filled radiator,1.171,0.094,1.1,1.0,Safety features
2026,Japan,Space heater (electric room heater) – Oil-filled radiator,1.184,0.097,1.1,1.0,Safety features
2027,Japan,Space heater (electric room heater) – Oil-filled radiator,1.197,0.1,1.1,1.0,Safety features
2028,Japan,Space heater (electric room heater) – Oil-filled radiator,1.21,0.103,1.1,1.0,Safety features
2015,Japan,Space heater (electric room heater) – Infrared/quartz,0.7,0.055,,1.0,Safety features
2016,Japan,Space heater (electric room heater) – Infrared/quartz,0.708,0.057,1.2,1.0,Safety features
2017,Japan,Space heater (electric room heater) – Infrared/quartz,0.717,0.059,1.2,1.0,Safety features
2018,Japan,Space heater (electric room heater) – Infrared/quartz,0.726,0.061,1.2,1.0,Safety features
2019,Japan,Space heater (electric room heater) – Infrared/quartz,0.734,0.063,1.2,1.0,Safety features
2020,Japan,Space heater (electric room heater) – Infrared/quartz,0.743,0.065,1.2,1.0,Safety features
2021,Japan,Space heater (electric room heater) – Infrared/quartz,0.752,0.067,1.2,1.0,Safety features
2022,Japan,Space heater (electric room heater) – Infrared/quartz,0.761,0.069,1.2,1.0,Safety features
2023,Japan,Space heater (electric room heater) – Infrared/quartz,0.77,0.071,1.2,1.0,Safety features
2024,Japan,Space heater (electric room heater) – Infrared/quartz,0.779,0.074,1.2,1.0,Safety features
2025,Japan,Space heater (electric room heater) – Infrared/quartz,0.789,0.076,1.2,1.0,Safety features
2026,Japan,Space heater (electric room heater) – Infrared/quartz,0.798,0.079,1.2,1.0,Safety features
2027,Japan,Space heater (electric room heater) – Infrared/quartz,0.808,0.081,1.2,1.0,Safety features
2028,Japan,Space heater (electric room heater) – Infrared/quartz,0.817,0.084,1.2,1.0,Safety features
2015,Japan,Water heater / electric geyser – Storage tank,1.5,1.458,,1.5,Efficiency push
2016,Japan,Water heater / electric geyser – Storage tank,1.522,1.509,1.5,1.5,Efficiency push
2017,Japan,Water heater / electric geyser – Storage tank,1.545,1.563,1.5,1.5,Efficiency push
2018,Japan,Water heater / electric geyser – Storage tank,1.569,1.618,1.5,1.5,Efficiency push
2019,Japan,Water heater / electric geyser – Storage tank,1.592,1.675,1.5,1.5,Efficiency push
2020,Japan,Water heater / electric geyser – Storage tank,1.616,1.734,1.5,1.5,Efficiency push
2021,Japan,Water heater / electric geyser – Storage tank,1.64,1.795,1.5,1.5,Efficiency push
2022,Japan,Water heater / electric geyser – Storage tank,1.665,1.859,1.5,1.5,Efficiency push
2023,Japan,Water heater / electric geyser – Storage tank,1.69,1.924,1.5,1.5,Efficiency push
2024,Japan,Water heater / electric geyser – Storage tank,1.715,1.992,1.5,1.5,Efficiency push
2025,Japan,Water heater / electric geyser – Storage tank,1.741,2.063,1.5,1.5,Efficiency push
2026,Japan,Water heater / electric geyser – Storage tank,1.767,2.135,1.5,1.5,Efficiency push
2027,Japan,Water heater / electric geyser – Storage tank,1.793,2.211,1.5,1.5,Efficiency push
2028,Japan,Water heater / electric geyser – Storage tank,1.82,2.289,1.5,1.5,Efficiency push
2015,Japan,Water heater / electric geyser – Tankless (instant),0.75,0.972,,1.5,Efficiency push
2016,Japan,Water heater / electric geyser – Tankless (instant),0.763,1.008,1.7,1.5,Efficiency push
2017,Japan,Water heater / electric geyser – Tankless (instant),0.776,1.046,1.7,1.5,Efficiency push
2018,Japan,Water heater / electric geyser – Tankless (instant),0.789,1.085,1.7,1.5,Efficiency push
2019,Japan,Water heater / electric geyser – Tankless (instant),0.802,1.126,1.7,1.5,Efficiency push
2020,Japan,Water heater / electric geyser – Tankless (instant),0.816,1.168,1.7,1.5,Efficiency push
2021,Japan,Water heater / electric geyser – Tankless (instant),0.83,1.211,1.7,1.5,Efficiency push
2022,Japan,Water heater / electric geyser – Tankless (instant),0.844,1.256,1.7,1.5,Efficiency push
2023,Japan,Water heater / electric geyser – Tankless (instant),0.858,1.303,1.7,1.5,Efficiency push
2024,Japan,Water heater / electric geyser – Tankless (instant),0.873,1.352,1.7,1.5,Efficiency push
2025,Japan,Water heater / electric geyser – Tankless (instant),0.888,1.402,1.7,1.5,Efficiency push
2026,Japan,Water heater / electric geyser – Tankless (instant),0.903,1.455,1.7,1.5,Efficiency push
2027,Japan,Water heater / electric geyser – Tankless (instant),0.918,1.509,1.7,1.5,Efficiency push
2028,Japan,Water heater / electric geyser – Tankless (instant),0.934,1.565,1.7,1.5,Efficiency push
2015,Japan,Water heater / electric geyser – Heat pump,0.25,0.432,,1.5,Decarbonization incentives
2016,Japan,Water heater / electric geyser – Heat pump,0.255,0.45,2.1,1.5,Decarbonization incentives
2017,Japan,Water heater / electric geyser – Heat pump,0.261,0.469,2.1,1.5,Decarbonization incentives
2018,Japan,Water heater / electric geyser – Heat pump,0.266,0.488,2.1,1.5,Decarbonization incentives
2019,Japan,Water heater / electric geyser – Heat pump,0.272,0.508,2.1,1.5,Decarbonization incentives
2020,Japan,Water heater / electric geyser – Heat pump,0.277,0.529,2.1,1.5,Decarbonization incentives
2021,Japan,Water heater / electric geyser – Heat pump,0.283,0.551,2.1,1.5,Decarbonization incentives
2022,Japan,Water heater / electric geyser – Heat pump,0.289,0.574,2.1,1.5,Decarbonization incentives
2023,Japan,Water heater / electric geyser – Heat pump,0.295,0.598,2.1,1.5,Decarbonization incentives
2024,Japan,Water heater / electric geyser – Heat pump,0.301,0.622,2.1,1.5,Decarbonization incentives
2025,Japan,Water heater / electric geyser – Heat pump,0.308,0.648,2.1,1.5,Decarbonization incentives
2026,Japan,Water heater / electric geyser – Heat pump,0.314,0.675,2.1,1.5,Decarbonization incentives
2027,Japan,Water heater / electric geyser – Heat pump,0.321,0.703,2.1,1.5,Decarbonization incentives
2028,Japan,Water heater / electric geyser – Heat pump,0.328,0.732,2.1,1.5,Decarbonization incentives
2015,Japan,Air purifier – True HEPA,1.0,0.216,,3.1,Air quality concern
2016,Japan,Air purifier – True HEPA,1.035,0.228,3.5,3.1,Air quality concern
2017,Japan,Air purifier – True HEPA,1.071,0.241,3.5,3.1,Air quality concern
2018,Japan,Air purifier – True HEPA,1.109,0.254,3.5,3.1,Air quality concern
2019,Japan,Air purifier – True HEPA,1.148,0.268,3.5,3.1,Air quality concern
2020,Japan,Air purifier – True HEPA,1.188,0.283,3.5,3.1,Air quality concern
2021,Japan,Air purifier – True HEPA,1.229,0.299,3.5,3.1,Air quality concern
2022,Japan,Air purifier – True HEPA,1.272,0.316,3.5,3.1,Air quality concern
2023,Japan,Air purifier – True HEPA,1.317,0.333,3.5,3.1,Air quality concern
2024,Japan,Air purifier – True HEPA,1.363,0.352,3.5,3.1,Air quality concern
2025,Japan,Air purifier – True HEPA,1.405,0.37,3.1,3.1,Air quality concern
2026,Japan,Air purifier – True HEPA,1.449,0.389,3.1,3.1,Air quality concern
2027,Japan,Air purifier – True HEPA,1.494,0.409,3.1,3.1,Air quality concern
2028,Japan,Air purifier – True HEPA,1.54,0.43,3.1,3.1,Air quality concern
2015,Japan,Air purifier – HEPA + activated carbon,0.8,0.211,,3.1,Air quality concern
2016,Japan,Air purifier – HEPA + activated carbon,0.83,0.224,3.8,3.1,Air quality concern
2017,Japan,Air purifier – HEPA + activated carbon,0.862,0.237,3.8,3.1,Air quality concern
2018,Japan,Air purifier – HEPA + activated carbon,0.895,0.251,3.8,3.1,Air quality concern
2019,Japan,Air purifier – HEPA + activated carbon,0.929,0.265,3.8,3.1,Air quality concern
